Subject,Number,Course Title
FIN,530,Foundations in Risk Management
FIN,541,Real Estate Fundamentals
FIN,566,Algorithmic Mkt Microstructure
FIN,580,Big Data Analytics
FIN,580,Corporate Finance
FIN,580,Financial Statements
FIN,580,Option Trading & Market-Making
FIN,580,Quantitative Methods I
FIN,580,Quantitative Methods II
FIN,580,Quantitative Methods
FIN,580,Machine Learning
FIN,580,Wealth Management
FSHN,101,Intro Food Science & Nutrition
FSHN,120,Contemporary Nutrition
FSHN,125,Intro to Human Nutrition
FSHN,140,Introduction to Hospitality
FSHN,150,Introduction to Dietetics
FSHN,199,Hot Topics in Sports Nutrition
FSHN,220,Principles of Nutrition
FSHN,232,Science of Food Preparation
FSHN,302,Sensory Evaluation of Foods
FSHN,345,Strategic Operations Mgmt
FSHN,414,Food Chemistry
FSHN,416,Food Chemistry Laboratory
FSHN,420,Nutritional Aspects of Disease
FSHN,426,Biochemical Nutrition I
FSHN,428,Community Nutrition
FSHN,450,Dietetics: Professional Issues
FSHN,461,Food Processing I
FSHN,465,Principles of Food Technology
FSHN,466,Food Product Development
FSHN,519,Flavor Chemistry and Analysis
FSHN,595,Fd Safety for Glbl Fd Security
GCL,126,Urban Sustainability
GCL,143,Mapping Inequalities
GCL,147,Racisms and Public Places
GCL,185,"Health, Wellness, & Black Exp"
GCL,186,Death & Dying
GCL,195,"Crime, Punishment, & Doc Film"
GEOG,101,Global Development&Environment
GEOG,103,Earth's Physical Systems
GEOG,204,Cities of the World
GEOG,205,Business Location Decisions
GEOG,210,Social & Environmental Issues
GEOG,221,Geographies of Global Conflict
GEOG,379,Intro to GIS Systems
GEOG,412,Geospatial Tech & Society
GEOG,473,Digital Cartography & Map Dsgn
GEOG,477,Introduction to Remote Sensing
GEOG,479,Spatial Computing & Modeling
GEOG,570,Advanced Spatial Analysis
GEOL,100,Planet Earth
GEOL,117,The Oceans
GEOL,118,Natural Disasters
GER,103,Intermediate German I
GER,270,History of Sexuality
GLBL,100,Intro to Global Studies
GLBL,100,Intro to Glbl Stds Crossroads
GLBL,220,Governance
GLBL,240,Global Health
GLBL,296,Global Homelessness
GLBL,296,Pol of Belong: Nat/Pop in Euro
GLBL,350,Poverty in a Global Context
GS,101,Exploring General Studies
